year,population
1950,4500000
1951,4642854
1952,4816995
1953,4987130
1954,5156626
1955,5309057
1956,5465992
1957,5622215
1958,5828335
1959,6026564
1960,6237980
1961,6413927
1962,6655727
1963,6897492
1964,7105268
1965,7317134
1966,7535434
1967,7769352
1968,8027664
1969,8287114
1970,8543288
1971,8834772
1972,9094470
1973,9375684
1974,9672552
1975,9987497
1976,10345566
1977,10655900
1978,11009061
1979,11382534
1980,11706532
1981,12105438
1982,12465033
1983,12822162
1984,13302850
1985,13803787
1986,14301882
1987,14745901
1988,15173188
1989,15701858
1990,16210622
1991,16684302
1992,17234080
1993,17722560
1994,18379947
1995,18942149
1996,19598025
1997,20207859
1998,20878774
1999,21577526
2000,22221584
2001,23059245
2002,23883644
2003,24776772
2004,25692231
2005,26565227
2006,27553952
2007,28349846
2008,29199202
2009,30029986
2010,30968522
2011,31956008
2012,32937489
2013,34132704
2014,35210189
2015,36294992
2016,37508223
2017,38611312
2018,40002167
2019,41152050
2020,42710431
2021,44236153
2022,45562669
2023,46840940
2024,48534456
2025,50236490
2026,52009339
