year,state,population,male_population,female_population,annual_growth_rate_percent,literacy_rate_percent,urban_population_percent,rural_population_percent
2011,Andhra Pradesh,49386799,25635326,23751473,1.34,65.23,23.11,76.89
2012,Andhra Pradesh,50048149,25756087,24292062,1.34,91.39,45.8,54.2
2013,Andhra Pradesh,50718356,26509770,24208586,1.34,90.48,37.88,62.12
2014,Andhra Pradesh,51397537,25958057,25439480,1.34,67.82,18.86,81.14
2015,Andhra Pradesh,52085814,26501811,25584003,1.34,81.36,44.67,55.33
2016,Andhra Pradesh,52783307,27537781,25245526,1.34,87.93,25.58,74.42
2017,Andhra Pradesh,53490141,27644554,25845587,1.34,78.1,21.9,78.1
2018,Andhra Pradesh,54206440,27429289,26777151,1.34,78.56,19.8,80.2
2019,Andhra Pradesh,54932331,28727867,26204464,1.34,90.42,40.97,59.03
2020,Andhra Pradesh,55667943,28196886,27471057,1.34,73.9,29.42,70.58
2011,Arunachal Pradesh,1383727,709392,674335,0.88,74.32,20.61,79.39
2012,Arunachal Pradesh,1395966,727563,668403,0.88,93.36,44.26,55.74
2013,Arunachal Pradesh,1408313,734676,673637,0.88,83.53,44.8,55.2
2014,Arunachal Pradesh,1420769,737691,683078,0.88,93.75,41.39,58.61
2015,Arunachal Pradesh,1433336,724524,708812,0.88,91.9,46.16,53.84
2016,Arunachal Pradesh,1446013,733894,712119,0.88,68.18,22.86,77.14
2017,Arunachal Pradesh,1458803,756798,702005,0.88,88.41,48.22,51.78
2018,Arunachal Pradesh,1471706,769669,702037,0.88,92.61,32.5,67.5
2019,Arunachal Pradesh,1484723,760507,724216,0.88,74.88,20.18,79.82
2020,Arunachal Pradesh,1497855,778343,719512,0.88,79.39,35.6,64.4
2011,Assam,31205576,16020553,15185023,1.13,92.96,21.27,78.73
2012,Assam,31559153,16129567,15429586,1.13,82.45,25.17,74.83
2013,Assam,31916737,16749234,15167503,1.13,90.27,33.86,66.14
2014,Assam,32278372,16880096,15398276,1.13,73.17,33.0,67.0
2015,Assam,32644104,16997855,15646249,1.13,89.65,40.26,59.74
2016,Assam,33013981,16757641,16256340,1.13,70.68,41.37,58.63
2017,Assam,33388048,16921361,16466687,1.13,86.73,18.22,81.78
2018,Assam,33766354,17116886,16649468,1.13,84.6,48.32,51.68
2019,Assam,34148947,17299882,16849065,1.13,89.17,18.11,81.89
2020,Assam,34535874,18052716,16483158,1.13,73.48,24.3,75.7
2011,Bihar,104099452,53210180,50889272,1.38,87.18,44.96,55.04
2012,Bihar,105537280,54279317,51257963,1.38,71.61,23.45,76.55
2013,Bihar,106994968,55513849,51481119,1.38,88.76,53.21,46.79
2014,Bihar,108472789,55398239,53074550,1.38,68.03,25.84,74.16
2015,Bihar,109971023,56769595,53201428,1.38,79.89,25.63,74.37
2016,Bihar,111489949,58199814,53290135,1.38,72.51,29.96,70.04
2017,Bihar,113029856,58022831,55007025,1.38,66.07,46.42,53.58
2018,Bihar,114591032,59571703,55019329,1.38,82.27,48.8,51.2
2019,Bihar,116173770,58855022,57318748,1.38,68.79,37.76,62.24
2020,Bihar,117778370,60510126,57268244,1.38,87.85,31.09,68.91
2011,Chhattisgarh,25545198,13111487,12433711,1.7,65.98,33.7,66.3
2012,Chhattisgarh,25978206,13550745,12427461,1.7,80.45,25.37,74.63
2013,Chhattisgarh,26418554,13444446,12974108,1.7,78.71,37.4,62.6
2014,Chhattisgarh,26866366,14032406,12833960,1.7,79.14,30.88,69.12
2015,Chhattisgarh,27321768,14164831,13156937,1.7,74.78,46.49,53.51
2016,Chhattisgarh,27784890,14300320,13484570,1.7,88.24,19.78,80.22
2017,Chhattisgarh,28255863,14743390,13512473,1.7,74.01,40.08,59.92
2018,Chhattisgarh,28734818,14781074,13953744,1.7,92.28,31.61,68.39
2019,Chhattisgarh,29221892,15168985,14052907,1.7,89.91,20.95,79.05
2020,Chhattisgarh,29717223,15373105,14344118,1.7,78.22,31.69,68.31
2011,Goa,1458545,743412,715133,1.2,73.56,30.12,69.88
2012,Goa,1476038,772020,704018,1.2,82.47,46.39,53.61
2013,Goa,1493740,758289,735451,1.2,80.85,34.73,65.27
2014,Goa,1511655,779098,732557,1.2,89.47,43.29,56.71
2015,Goa,1529784,796530,733254,1.2,90.78,19.64,80.36
2016,Goa,1548131,806353,741778,1.2,89.71,41.17,58.83
2017,Goa,1566698,814092,752606,1.2,81.05,21.46,78.54
2018,Goa,1585488,829902,755586,1.2,84.67,30.77,69.23
2019,Goa,1604503,837986,766517,1.2,67.84,53.53,46.47
2020,Goa,1623746,822657,801089,1.2,82.58,42.42,57.58
2011,Gujarat,60439692,31001122,29438570,1.34,76.84,26.35,73.65
2012,Gujarat,61252269,31748198,29504071,1.34,72.76,40.52,59.48
2013,Gujarat,62075770,32416049,29659721,1.34,74.13,32.66,67.34
2014,Gujarat,62910343,31980490,30929853,1.34,79.63,34.08,65.92
2015,Gujarat,63756136,32310943,31445193,1.34,78.02,48.25,51.75
2016,Gujarat,64613300,33120937,31492363,1.34,74.95,46.1,53.9
2017,Gujarat,65481988,34212214,31269774,1.34,67.5,35.54,64.46
2018,Gujarat,66362356,33984894,32377462,1.34,82.68,44.84,55.16
2019,Gujarat,67254559,35095683,32158876,1.34,65.9,52.93,47.07
2020,Gujarat,68158758,35134954,33023804,1.34,70.03,39.28,60.72
2011,Haryana,25351462,12941494,12409968,0.66,88.52,30.67,69.33
2012,Haryana,25518197,13314734,12203463,0.66,89.64,31.19,68.81
2013,Haryana,25686029,13297552,12388477,0.66,79.76,29.92,70.08
2014,Haryana,25854965,13132653,12722312,0.66,87.69,44.53,55.47
2015,Haryana,26025012,13643811,12381201,0.66,73.61,28.67,71.33
2016,Haryana,26196177,13255514,12940663,0.66,91.07,48.07,51.93
2017,Haryana,26368468,13467767,12900701,0.66,84.93,27.52,72.48
2018,Haryana,26541892,13873413,12668479,0.66,82.96,21.33,78.67
2019,Haryana,26716457,14023858,12692599,0.66,74.81,38.57,61.43
2020,Haryana,26892170,13642445,13249725,0.66,65.46,32.04,67.96
2011,Himachal Pradesh,6864602,3590684,3273918,0.72,92.67,41.94,58.06
2012,Himachal Pradesh,6914015,3502374,3411641,0.72,68.79,54.24,45.76
2013,Himachal Pradesh,6963783,3622148,3341635,0.72,67.89,31.12,68.88
2014,Himachal Pradesh,7013910,3677643,3336267,0.72,83.03,49.09,50.91
